id,task_id,instruction,exe_status,robot_id,box_code,lattice_code,create_time,execute_time,update_time,robot_type
75871,44115,GO_RETURN_BOX,COMPLETED,5211163,B004806,1035125501,2021-12-21 10:38:03.765,2021-12-21 10:38:03.765,2021-12-21 10:38:09.270,RS5-D
75874,44121,GO_SOMEWHERE,COMPLETED,5211165,,,2021-12-21 10:38:08.036,2021-12-21 10:38:08.036,2021-12-21 10:38:10.499,RS5-D
75876,44123,GO_SOMEWHERE,COMPLETED,5211163,,,2021-12-21 10:38:14.634,2021-12-21 10:38:14.634,2021-12-21 10:38:17.166,RS5-D
75872,44119,GO_SOMEWHERE,COMPLETED,5211166,,,2021-12-21 10:38:05.500,2021-12-21 10:38:05.500,2021-12-21 10:38:19.984,RS5-D
75873,44120,GO_SOMEWHERE,COMPLETED,5211169,,,2021-12-21 10:38:07.523,2021-12-21 10:38:07.523,2021-12-21 10:38:20.796,RS5-D
75875,44122,GO_SOMEWHERE,COMPLETED,5211168,,,2021-12-21 10:38:09.571,2021-12-21 10:38:09.571,2021-12-21 10:38:31.994,RS5-D
75879,44127,GO_FETCHING_BOX,COMPLETED,5211165,B003938,00503311,2021-12-21 10:38:44.901,2021-12-21 10:38:44.901,2021-12-21 10:38:52.124,RS5-D
75883,44124,GO_FETCHING_BOX,COMPLETED,5211168,B001728,00501703,2021-12-21 10:38:44.937,2021-12-21 10:38:44.937,2021-12-21 10:38:53.160,RS5-D
75878,44125,GO_FETCHING_BOX,COMPLETED,5211166,B001749,00502611,2021-12-21 10:38:44.893,2021-12-21 10:38:44.893,2021-12-21 10:38:53.773,RS5-D
75877,44129,GO_FETCHING_BOX,COMPLETED,5211167,B000417,00700709,2021-12-21 10:38:44.883,2021-12-21 10:38:44.883,2021-12-21 10:38:54.393,RS5-D
75882,44130,GO_FETCHING_BOX,COMPLETED,5211162,B000418,00201203,2021-12-21 10:38:44.927,2021-12-21 10:38:44.927,2021-12-21 10:38:54.407,RS5-D
75880,44128,GO_FETCHING_BOX,COMPLETED,5211164,B003939,00601411,2021-12-21 10:38:44.909,2021-12-21 10:38:44.909,2021-12-21 10:38:54.614,RS5-D
75888,44130,GO_RETURN_BOX,COMPLETED,5211162,B000418,1010107501,2021-12-21 10:38:55.038,2021-12-21 10:38:55.038,2021-12-21 10:38:58.402,RS5-D
75886,44125,GO_RETURN_BOX,COMPLETED,5211166,B001749,1050116501,2021-12-21 10:38:54.394,2021-12-21 10:38:54.394,2021-12-21 10:38:59.232,RS5-D
75887,44129,GO_RETURN_BOX,COMPLETED,5211167,B000417,1025107001,2021-12-21 10:38:55.025,2021-12-21 10:38:55.025,2021-12-21 10:38:59.840,RS5-D
75884,44127,GO_RETURN_BOX,COMPLETED,5211165,B003938,1060126001,2021-12-21 10:38:52.743,2021-12-21 10:38:52.743,2021-12-21 10:38:59.841,RS5-D
75885,44124,GO_RETURN_BOX,COMPLETED,5211168,B001728,1060106001,2021-12-21 10:38:53.774,2021-12-21 10:38:53.774,2021-12-21 10:39:00.857,RS5-D
